run_id	date	system_id	stage	input_file	job_id	node	status	imag_freq	scf_hartree	gibbs_hartree	git_commit	output_sha256	notes
B3LYP-COOH-GQD-001	2026-09-10	COOH-GQD	b3lyp	calculations/phase1_dft/b3lyp/inputs/cooh_gqd_b3lyp_optfreq_v01.com	7633495.maple	cn045	PASS	0	-2257.22593711	-2256.741041	795588f	bcc0062f2341239b8cc12a2f92ef14f714c558ca4acf3b2e7d73c92b5d1c8467	
B3LYP-ERLOTINIB-001	2026-09-18	ERLOTINIB	b3lyp	calculations/phase1_dft/b3lyp/inputs/erlotinib_b3lyp_optfreq_v01.com	7709220.maple	cn046	PASS	0	-1317.40085224	-1317.040903	1c91891	042787f2a35a5ff283eafb0d8fab152d3fcb02d8c123780b26f8358f4a7698a4	
B3LYP-GEFITINIB-001	2026-09-21	GEFITINIB	b3lyp	calculations/phase1_dft/b3lyp/inputs/gefitinib_b3lyp_optfreq_v01.com	7712077.maple	cn136	PASS	0	-1857.65516482	-1857.272466	58199fe	ff33af5564e89743737835f13fccf64ad581bcc38da7899104d9a4656c6f70f5	
PM6-COOH-GQD-003	2026-07-30	COOH-GQD	pm6	calculations/phase1_dft/pm6/inputs/cooh_gqd_pm6_opt_v01.com	7463050.maple	cn090	SUPERSEDED	NA	0.902899589068	NA	NA	56033c0d0c34686319834f37cfdfe482db5aa1139dd073bc6719a8e5f691e8de	Scientific calculation and QC passed; Git provenance was unavailable on the compute node. Local archive files were accidentally truncated on 2026-08-26 and restored from the verified Google Drive mirror with matching SHA-256 hashes.
PM6-COOH-GQD-004	2026-07-30	COOH-GQD	pm6	calculations/phase1_dft/pm6/inputs/cooh_gqd_pm6_opt_v01.com	7463331.maple	cn033	SUPERSEDED	NA	0.902899589068	NA	NA	85bb7f8ade5ddb00a4009f74c17ba60ed7092c33f1166015c173470a3abf4a60	Scientific calculation and QC passed, but git_commit was recorded as NA.
PM6-COOH-GQD-005	2026-07-30	COOH-GQD	pm6	calculations/phase1_dft/pm6/inputs/cooh_gqd_pm6_opt_v01.com	7463337.maple	cn033	PASS	NA	0.902899589068	NA	2b1d86d	596b637585012dca96511825303ffde4c380cab4b83622aa81bfff60e9ad3386	First fully Git-linked PM6 reproducibility run; Gaussian and QC passed.
PM6-ERLOTINIB-001	2026-09-18	ERLOTINIB	pm6	calculations/phase1_dft/pm6/inputs/erlotinib_pm6_opt_v01.com	7709167.maple	cn037	PASS	NA	-0.367805799799E-01	NA	f677160	9a8cf2d2cb6b8c30fd8844a3339d8b39e11d40d4d4cd8298195c49e84af7fcf4	
PM6-GEFITINIB-001	2026-09-21	GEFITINIB	pm6	calculations/phase1_dft/pm6/inputs/gefitinib_pm6_opt_v01.com	7712055.maple	cn070	PASS	NA	-0.143959081671	NA	4356191	98369b71273ba9db221a7a02a3f55285240e2ccbb1de93041b1b48c66e7a1e68	
PM6-VENETOCLAX-001	2026-09-22	VENETOCLAX	pm6	calculations/phase1_dft/pm6/inputs/venetoclax_pm6_opt_v01.com	7727742.maple	cn044	PASS	NA	-0.188235089884	NA	395a72b	2bb87bd1095aa149bcf472299ad4ce2596d448ac97bdc9ca9879ca445326f335	Gaussian normal termination; optimization completed; stationary point found; all final convergence criteria YES; QC PASS.
B3LYP-VENETOCLAX-001	2026-09-24	VENETOCLAX	b3lyp	calculations/phase1_dft/b3lyp/inputs/venetoclax_b3lyp_optfreq_v01.com	7733231.maple	cn083	PASS	0	-3513.36374367	-3512.544402	0ce200d	21492babb3b95def7d9fcddc916e417ded8db3a3c4d71cc51c60d9905dcc2ad0	chk_sha256=0ccf1cb08cbaa9a3f89225415e9c25ccb5594d7fe486a32712affad150e22c31; PBS_exit=0; gaussian_exit=0; qc_exit=0; cgroup_memsw_limit_exceeded_after_successful_completion
PM6-ABT737-002	2026-09-25	ABT737	pm6	calculations/phase1_dft/pm6/inputs/abt737_pm6_opt_v01.com	7738520.maple	cn070	PASS	NA	-0.392804361086E-01	NA	29a5939	2472e357cb4ea5ba080a0331fb5e60ff9bcccb110f354afe93bbe82d68f2fc53	Gaussian normal termination; optimization completed; stationary point found; all final convergence criteria YES; QC PASS; chk_sha256=94e7fae8afc3dd245c5bb48bfd94d762c723df142f2f5b50cf030c2c01e9893e; PBS_exit=0; gaussian_exit=0; qc_exit=0.
