rank	conf_id	converged	status_code	energy_kcal_mol
1	135	1	0	144.688178
2	144	1	0	145.399157
3	47	1	0	147.360877
4	128	1	0	147.550940
5	0	1	0	147.775256
6	133	1	0	147.855833
7	191	1	0	147.896764
8	51	1	0	148.204380
9	152	1	0	148.258640
10	74	1	0	148.434728
11	29	1	0	148.538965
12	111	1	0	148.641096
13	118	1	0	148.723507
14	154	1	0	149.099627
15	73	1	0	149.116333
16	178	1	0	149.267499
17	9	1	0	149.401325
18	65	1	0	149.594042
19	78	1	0	149.691921
20	149	1	0	149.708424
21	26	1	0	149.758137
22	174	1	0	150.197832
23	177	1	0	150.223434
24	130	1	0	150.257021
25	155	1	0	150.325600
26	184	1	0	150.353066
27	105	1	0	150.354759
28	2	1	0	150.357962
29	189	1	0	150.388519
30	5	1	0	150.424197
31	15	1	0	150.590195
32	11	1	0	150.678159
33	185	1	0	150.740055
34	37	1	0	150.784816
35	45	1	0	151.079734
36	27	1	0	151.143459
37	10	1	0	151.147720
38	182	1	0	151.223846
39	99	1	0	151.254806
40	61	1	0	151.489257
41	131	1	0	151.517691
42	180	1	0	151.526806
43	21	1	0	151.550706
44	175	1	0	151.733610
45	43	1	0	151.848300
46	102	1	0	151.902361
47	46	1	0	152.027322
48	153	1	0	152.229532
49	75	1	0	152.281823
50	143	1	0	152.358112
51	192	1	0	152.360306
52	113	1	0	152.360412
53	69	1	0	152.591431
54	193	1	0	152.640816
55	150	1	0	152.716359
56	108	1	0	152.782575
57	140	1	0	152.797813
58	93	1	0	152.835792
59	62	1	0	152.921533
60	119	1	0	152.959172
61	104	1	0	152.964779
62	67	1	0	152.987731
63	97	1	0	153.027222
64	162	1	0	153.188153
65	127	1	0	153.344905
66	161	1	0	153.374380
67	6	1	0	153.405469
68	91	1	0	153.407316
69	151	1	0	153.569867
70	138	1	0	153.599993
71	31	1	0	153.620174
72	40	1	0	153.681087
73	14	1	0	153.733953
74	169	1	0	153.742277
75	146	1	0	153.752267
76	39	1	0	153.756892
77	44	1	0	153.812984
78	96	1	0	153.836464
79	166	1	0	153.887745
80	33	1	0	154.009306
81	121	1	0	154.101686
82	196	1	0	154.144495
83	66	1	0	154.246151
84	164	1	0	154.326484
85	38	1	0	154.380948
86	168	1	0	154.591640
87	57	1	0	154.596977
88	115	1	0	154.604213
89	107	1	0	154.628588
90	7	1	0	154.963326
91	156	1	0	154.967639
92	100	1	0	154.985054
93	49	1	0	155.106186
94	81	1	0	155.292141
95	79	1	0	155.324748
96	23	1	0	155.440378
97	158	1	0	155.479060
98	56	1	0	155.526928
99	122	1	0	155.669133
100	63	1	0	155.707531
101	98	1	0	155.836408
102	110	1	0	155.982512
103	101	1	0	156.072120
104	188	1	0	156.180760
105	181	1	0	156.385842
106	53	1	0	156.613242
107	114	1	0	156.676693
108	25	1	0	156.804384
109	1	1	0	156.875630
110	163	1	0	156.977013
111	117	1	0	157.126769
112	32	1	0	157.153178
113	36	1	0	157.347503
114	28	1	0	157.391259
115	171	1	0	157.545965
116	159	1	0	157.724139
117	165	1	0	157.831908
118	90	1	0	157.857049
119	160	1	0	157.879182
120	77	1	0	157.961578
121	35	1	0	157.969465
122	41	1	0	158.001397
123	22	1	0	158.089813
124	190	1	0	158.104660
125	125	1	0	158.214933
126	59	1	0	158.229032
127	142	1	0	158.343159
128	132	1	0	158.406638
129	145	1	0	158.411691
130	84	1	0	158.473326
131	18	1	0	158.781846
132	173	1	0	158.807983
133	194	1	0	158.825014
134	87	1	0	158.945621
135	95	1	0	159.208708
136	72	1	0	159.325681
137	139	1	0	159.368972
138	179	1	0	159.417689
139	124	1	0	159.547550
140	70	1	0	159.630467
141	106	1	0	159.681065
142	120	1	0	159.722834
143	129	1	0	159.798705
144	52	1	0	159.813190
145	112	1	0	159.814381
146	54	1	0	159.818342
147	172	1	0	160.079771
148	126	1	0	160.200625
149	12	1	0	160.214241
150	4	1	0	160.273909
151	183	1	0	160.282539
152	83	1	0	160.416099
153	85	1	0	160.548986
154	103	1	0	160.630169
155	195	1	0	160.655842
156	48	1	0	160.764830
157	24	1	0	160.984955
158	68	1	0	161.120654
159	89	1	0	161.217863
160	141	1	0	161.296428
161	176	1	0	161.619712
162	186	1	0	161.626321
163	20	1	0	161.718606
164	134	1	0	161.733321
165	50	1	0	161.947793
166	137	1	0	162.058679
167	76	1	0	162.126534
168	109	1	0	162.242896
169	71	1	0	162.275507
170	136	1	0	162.514208
171	167	1	0	162.521832
172	19	1	0	162.588678
173	64	1	0	162.606747
174	86	1	0	162.635543
175	147	1	0	162.706031
176	42	1	0	162.846700
177	30	1	0	162.866025
178	92	1	0	163.103512
179	157	1	0	163.275835
180	94	1	0	163.306393
181	3	1	0	163.673014
182	123	1	0	163.679279
183	17	1	0	163.964404
184	8	1	0	164.089828
185	13	1	0	164.205348
186	34	1	0	164.322565
187	148	1	0	164.887879
188	170	1	0	164.923244
189	55	1	0	164.938037
190	16	1	0	165.147083
191	88	1	0	165.171751
192	58	1	0	165.628261
193	116	1	0	166.256942
194	60	1	0	166.391943
195	187	1	0	168.032663
196	82	1	0	169.710628
197	80	1	0	170.286086
