rank	conf_id	converged	status_code	energy_kcal_mol
1	24	1	0	124.035453
2	63	1	0	127.533951
3	2	1	0	127.615962
4	26	1	0	128.588675
5	54	1	0	128.722520
6	18	1	0	128.800567
7	62	1	0	130.052013
8	65	1	0	130.291104
9	46	1	0	131.788205
10	52	1	0	131.988027
11	55	1	0	132.103057
12	6	1	0	132.677942
13	34	1	0	132.705388
14	13	1	0	133.107748
15	96	1	0	133.360998
16	98	1	0	133.666800
17	33	1	0	133.723018
18	58	1	0	133.731380
19	71	1	0	133.961545
20	36	1	0	134.087753
21	56	1	0	134.151555
22	21	1	0	134.194368
23	60	1	0	134.216476
24	67	1	0	134.220302
25	14	1	0	134.542610
26	85	1	0	134.678931
27	38	1	0	135.034295
28	10	1	0	135.223949
29	5	1	0	135.777976
30	83	1	0	135.826491
31	87	1	0	136.110996
32	43	1	0	136.140515
33	50	1	0	136.377343
34	88	1	0	136.592888
35	19	1	0	136.972706
36	95	1	0	136.985571
37	47	1	0	137.159471
38	77	1	0	137.214323
39	16	1	0	137.547653
40	1	1	0	137.555251
41	27	1	0	137.599834
42	15	1	0	137.627230
43	75	1	0	137.629898
44	53	1	0	137.884851
45	69	1	0	137.938068
46	49	1	0	138.506552
47	78	1	0	138.621586
48	35	1	0	138.731221
49	9	1	0	138.835846
50	22	1	0	138.852154
51	84	1	0	139.257362
52	51	1	0	139.277205
53	30	1	0	140.003639
54	8	1	0	140.191411
55	40	1	0	140.262270
56	91	1	0	140.299692
57	41	1	0	140.387441
58	37	1	0	140.710051
59	11	1	0	140.719652
60	64	1	0	140.761654
61	32	1	0	140.794980
62	4	1	0	140.826762
63	29	1	0	140.846626
64	12	1	0	140.906617
65	25	1	0	140.965494
66	3	1	0	141.080494
67	74	1	0	141.156961
68	81	1	0	141.399083
69	73	1	0	141.789348
70	79	1	0	142.086064
71	7	1	0	142.094879
72	89	1	0	142.221980
73	66	1	0	142.608071
74	44	1	0	142.735361
75	39	1	0	142.793218
76	92	1	0	142.902693
77	97	1	0	143.023314
78	86	1	0	144.154926
79	61	1	0	144.201986
80	94	1	0	144.561605
81	20	1	0	145.223216
82	59	1	0	145.239411
83	90	1	0	145.344539
84	99	1	0	146.049572
85	76	1	0	146.094235
86	72	1	0	146.267818
87	0	1	0	146.375912
88	17	1	0	146.394958
89	80	1	0	146.451505
90	23	1	0	146.589091
91	28	1	0	147.154492
92	82	1	0	147.500359
93	93	1	0	147.623588
94	45	1	0	147.776310
95	70	1	0	148.010215
96	68	1	0	148.172111
97	42	1	0	148.649311
98	31	1	0	149.918255
99	57	1	0	150.127855
100	48	1	0	154.116621
